filename,flag,start,duration,word,tokenized,count_tokens,sp_id_and_ch_id,filename_path
LSP-283242-0048_1,1,13.93,0.69,MINX,"['▁m', 'in', 'x']",3,-283242-0048,"./train-clean-360/8855/283242/8855-283242-0048.flac
"
LSP-34607-0021_1,1,8.7,0.5,ANNE,"['▁an', 'n', 'e']",3,-34607-0021,"./train-clean-100/6147/34607/6147-34607-0021.flac
"
LSP-135777-0071_1,1,4.0,0.59,HESTER,"['▁he', 'st', 'er']",3,-135777-0071,"./train-other-500/1250/135777/1250-135777-0071.flac
"
LSP-152264-0012_1,1,15.32,0.5,DANES,"['▁d', 'an', 'es']",3,-152264-0012,"./train-clean-360/2272/152264/2272-152264-0012.flac
"
LSP-134409-0055_1,1,8.42,0.51,HIMSELF,"['▁him', 'se', 'lf']",3,-134409-0055,"./train-other-500/3500/134409/3500-134409-0055.flac
"
LSP-2-0014_1,1,1.65,0.52,LEAD,"['▁l', 'e', 'ad']",3,-2-0014,"./train-other-500/110/2/110-2-0014.flac
"
LSP-64708-0020_1,1,7.45,0.56,STAG,"['▁st', 'a', 'g']",3,-64708-0020,"./train-clean-360/6189/64708/6189-64708-0020.flac
"
LSP-12369-0154_1,1,4.43,0.69,MILD,"['▁m', 'i', 'ld']",3,-12369-0154,"./train-other-500/4042/12369/4042-12369-0154.flac
"
LSP-175932-0018_1,1,7.17,0.52,FORMING,"['▁for', 'm', 'ing']",3,-175932-0018,"./train-other-500/3618/175932/3618-175932-0018.flac
"
LSP-21379-0038_1,1,9.18,0.71,ELLEN,"['▁e', 'll', 'en']",3,-21379-0038,"./train-other-500/5005/21379/5005-21379-0038.flac
"
LSP-59231-0001_1,1,8.77,0.57,THERESA,"['▁there', 's', 'a']",3,-59231-0001,"./train-other-500/4703/59231/4703-59231-0001.flac
"
LSP-139307-0045_1,1,13.66,0.67,ITSELF,"['▁it', 'se', 'lf']",3,-139307-0045,"./train-clean-360/1052/139307/1052-139307-0045.flac
"
LSP-122626-0030_1,1,5.63,0.51,MAMA,"['▁m', 'am', 'a']",3,-122626-0030,"./train-clean-360/242/122626/242-122626-0030.flac
"
LSP-305213-0045_1,1,1.7,0.55,HERESY,"['▁he', 'res', 'y']",3,-305213-0045,"./train-clean-100/8630/305213/8630-305213-0045.flac
"
LSP-21282-0067_1,1,7.44,0.66,WESTALL,"['▁w', 'est', 'all']",3,-21282-0067,"./train-other-500/5445/21282/5445-21282-0067.flac
"
LSP-2331-0000_1,1,0.49,0.66,THREAT,"['▁th', 're', 'at']",3,-2331-0000,"./train-other-500/7009/2331/7009-2331-0000.flac
"
LSP-156977-0023_1,1,6.93,0.69,DEITY,"['▁de', 'it', 'y']",3,-156977-0023,"./train-clean-360/3781/156977/3781-156977-0023.flac
"
LSP-142778-0108_1,1,5.17,0.51,POTS,"['▁p', 'ot', 's']",3,-142778-0108,"./train-other-500/2762/142778/2762-142778-0108.flac
"
LSP-129582-0016_1,1,8.29,0.61,PALM,"['▁p', 'al', 'm']",3,-129582-0016,"./train-clean-360/716/129582/716-129582-0016.flac
"
LSP-136523-0003_1,1,3.77,0.53,SEXES,"['▁se', 'x', 'es']",3,-136523-0003,"./train-other-500/1266/136523/1266-136523-0003.flac
"
LSP-138888-0027_1,1,1.88,0.5,STAINS,"['▁st', 'ain', 's']",3,-138888-0027,"./train-clean-360/2053/138888/2053-138888-0027.flac
"
LSP-44438-0029_1,1,8.62,0.53,AISLE,"['▁a', 'is', 'le']",3,-44438-0029,"./train-other-500/4191/44438/4191-44438-0029.flac
"
LSP-39940-0051_1,1,1.26,0.51,FAINTER,"['▁f', 'ain', 'ter']",3,-39940-0051,"./train-other-500/4295/39940/4295-39940-0051.flac
"
LSP-135914-0065_1,1,0.22,0.68,THEREFORE,"['▁there', 'f', 'ore']",3,-135914-0065,"./train-clean-100/1594/135914/1594-135914-0065.flac
"
LSP-185349-0031_1,1,7.86,0.54,OTHER,"['▁o', 't', 'her']",3,-185349-0031,"./train-other-500/4161/185349/4161-185349-0031.flac
"
